file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,elem_index,treatment,treat_category,budget_category,period,period_calendar,forced,follow_up,treatment_cost,treatment_qty,treatment_comment,treatment_reason,is_committed
10,Upper Ahu Ahu Road,0,46,All,14,ChipSeal_P,Preserve,Renewals,1,2024,True,False,3680,368,committed import,committed,True
32,Karearea Lane,84,154,All,74,ChipSeal_P,Preserve,Renewals,1,2024,True,False,7920,792,committed import,committed,True
32,Karearea Lane,154,820,All,75,ChipSeal_P,Preserve,Renewals,1,2024,True,False,77210,7721,committed import,committed,True
20,Burkes Creek Road,765,1789,All,126,ChipSeal_P,Preserve,Renewals,1,2024,False,False,133120,13312,mesh_cracks =6.11; shove =0; poth =0,pdi =6.11; sdi =11.7; age =12,False
20,Burkes Creek Road,765,1789,All,123,ChipSeal_P,Preserve,Renewals,1,2024,False,False,133120,13312,mesh_cracks =0; shove =0; poth =0,pdi =0; sdi =25.91; age =12,False
15,Fendall Close,438,585,All,429,ChipSeal_P,Preserve,Renewals,1,2024,False,False,18520,1852,mesh_cracks =0; shove =0; poth =0,pdi =0; sdi =28.21; age =7,False
9339,Weston Way,1589,1999,All,332,ChipSeal_P,Preserve,Renewals,1,2024,False,False,54530,5453,mesh_cracks =0; shove =0; poth =0.08,pdi =2.38; sdi =4.68; age =16,False
1037,Epiha Road Upper,0,415,All,183,ChipSeal_P,Preserve,Renewals,1,2024,False,False,37350,3735,mesh_cracks =0; shove =0; poth =0,pdi =0; sdi =22.64; age =10,False
9339,Weston Way,2696,3114,All,246,ChipSeal_P,Preserve,Renewals,1,2024,False,False,52470,5247,mesh_cracks =7.38; shove =0; poth =1.13,pdi =18.63; sdi =11.25; age =16,False
9339,Weston Way,1589,1999,All,199,ChipSeal_P,Preserve,Renewals,1,2024,False,False,54530,5453,mesh_cracks =6.24; shove =0; poth =0,pdi =6.24; sdi =0; age =16,False
15,Fendall Close,0,438,All,117,ChipSeal_P,Preserve,Renewals,1,2024,False,False,54800,5480,mesh_cracks =0; shove =0; poth =0,pdi =0; sdi =26.54; age =11,False
20,Burkes Creek Road,549,697,All,133,ChipSeal_P,Preserve,Renewals,1,2024,False,False,19240,1924,mesh_cracks =0; shove =0; poth =0,pdi =0; sdi =7.92; age =12,False
15,Fendall Close,736,814,All,163,ChipSeal_P,Preserve,Renewals,1,2024,False,False,17630,1763,mesh_cracks =1.6; shove =0; poth =0,pdi =1.6; sdi =0; age =22,False
9339,Weston Way,1999,2369,All,459,ChipSeal_P,Preserve,Renewals,1,2024,False,False,48630,4863,mesh_cracks =2.07; shove =0; poth =0,pdi =2.07; sdi =0; age =16,False
