elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,treat_2023,reason_2023,comment_2023,treat_2024,reason_2024,comment_2024,treat_2025,reason_2025,comment_2025,treat_2026,reason_2026,comment_2026,treat_2027,reason_2027,comment_2027,treat_2028,reason_2028,comment_2028,treat_2029,reason_2029,comment_2029,treat_2030,reason_2030,comment_2030,treat_2031,reason_2031,comment_2031,treat_2032,reason_2032,comment_2032,treat_2033,reason_2033,comment_2033,treat_2034,reason_2034,comment_2034,treat_2035,reason_2035,comment_2035,treat_2036,reason_2036,comment_2036,treat_2037,reason_2037,comment_2037,treat_2038,reason_2038,comment_2038,treat_2039,reason_2039,comment_2039,treat_2040,reason_2040,comment_2040,treat_2041,reason_2041,comment_2041,treat_2042,reason_2042,comment_2042,treat_2043,reason_2043,comment_2043
0,1013,Brook Street North,0,220,All,,,,,,,,,,ChipSeal_P,pdi =1.94; sdi =3.61; age =22,mesh_cracks =0.21; shove =0.15; poth =0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =11.22; sdi =12.6; age =15,mesh_cracks =1; shove =0; poth =1,,,
1,1,Conifer Close,0,378,All,,,,,,,,,,ChipSeal_P,pdi =4.51; sdi =3.32; age =12,mesh_cracks =1.27; shove =1.38; poth =0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =11.54; sdi =13.72; age =14,mesh_cracks =1.28; shove =0; poth =1,,,,,,
2,2,Fladgate Drive,0,565,All,,,,,,,,,,ChipSeal_P,pdi =2.04; sdi =2.72; age =23,mesh_cracks =0.26; shove =0.15; poth =0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =11.49; sdi =13.5; age =15,mesh_cracks =1.23; shove =0; poth =1,,,
3,4,Highfield Drive,0,71,All,,,,,,,,,,ChipSeal_P,pdi =3.87; sdi =2.04; age =18,mesh_cracks =2.12; shove =0.15; poth =0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =11.34; sdi =13.04; age =15,mesh_cracks =1.1; shove =0; poth =1,,,
4,3,Matai Way,0,557,All,,,,,,,,,,ChipSeal_P,pdi =2.01; sdi =5.56; age =21,mesh_cracks =0.24; shove =0.15; poth =0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =11.35; sdi =13.13; age =15,mesh_cracks =1.1; shove =0; poth =1,,,
5,5,Vintry Drive,0,362,All,,,,,,,ChipSeal_P,pdi =2.42; sdi =7.59; age =16,mesh_cracks =0.12; shove =1.5; poth =0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =11.48; sdi =13.42; age =15,mesh_cracks =1.23; shove =0; poth =1,,,,,,
6,6,Croatia Avenue,0,42,All,,,,,,,,,,,,,,,,ChipSeal_P,pdi =4.28; sdi =5.23; age =13,mesh_cracks =0.5; shove =1.08; poth =0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6,Croatia Avenue,42,76,All,,,,,,,,,,,,,,,,,,,ThinAC_P,pdi =5.62; sdi =5.78; age =44,mesh_cracks =0.66; shove =0.42; poth =0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7,Lumbarda Drive,0,152,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ThinAC_P,pdi =4.96; sdi =6.19; age =20,mesh_cracks =1.23; shove =1.07; poth =0.17,,,,,,,,,,,,,,,,,,,,,
9,8,Tarras Road,0,86,All,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =6.03; sdi =6.11; age =15,mesh_cracks =1.85; shove =1.15; poth =0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,8,Tarras Road,86,120,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,ThinAC_P,pdi =4.87; sdi =5.53; age =20,mesh_cracks =1.4; shove =1.07; poth =0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,9,Kowhai Glen,0,305,All,,,,,,,,,,,,,ChipSeal_P,pdi =3.67; sdi =3.59; age =37,mesh_cracks =0.76; shove =0.24; poth =0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1037,Epiha Road Upper,0,415,All,,,,,,,,,,,,,ChipSeal_P,pdi =4.35; sdi =4.8; age =13,mesh_cracks =0.46; shove =1.16; poth =0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =12.51; sdi =12.67; age =9,mesh_cracks =1.25; shove =1; poth =1,,,,,,,,,,,,,,,,,,
13,1038,Gossey Drive North,1319,1723,All,,,,,,,,,,,,,ChipSeal_P,pdi =4.35; sdi =4.35; age =13,mesh_cracks =0.46; shove =1.16; poth =0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =12.51; sdi =12.68; age =9,mesh_cracks =1.26; shove =1; poth =1,,,,,,,,,,,,,,,,,,
14,10,Upper Ahu Ahu Road,0,46,All,,,,ChipSeal_P,committed,committed import,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =5.77; sdi =2.29; age =13,mesh_cracks =5.57; shove =0; poth =0,,,,,,,,,,,,,,,
15,10,Upper Ahu Ahu Road,46,68,All,,,,,,,,,,,,,,,,ThinAC_P,pdi =5.88; sdi =5.4; age =16,mesh_cracks =1.98; shove =1.15; poth =0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,11,Lower Ahu Ahu Road,0,158,All,,,,,,,,,,,,,ChipSeal_P,pdi =3.38; sdi =4.71; age =11,mesh_cracks =0.41; shove =1.07; poth =0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =11.47; sdi =13.38; age =15,mesh_cracks =1.22; shove =0; poth =1
