elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
0,1013,Brook Street North,0,220,All,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
1,1,Conifer Close,0,378,All,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
2,2,Fladgate Drive,0,565,All,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
3,4,Highfield Drive,0,71,All,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,4
4,3,Matai Way,0,557,All,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
5,5,Vintry Drive,0,362,All,12,12,12,12,19,19,19,19,19,19,19,19,19,19,19,19
6,6,Croatia Avenue,0,42,All,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
7,6,Croatia Avenue,42,76,All,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
8,7,Lumbarda Drive,0,152,All,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
9,8,Tarras Road,0,86,All,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
10,8,Tarras Road,86,120,All,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
11,9,Kowhai Glen,0,305,All,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
12,1037,Epiha Road Upper,0,415,All,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11
13,1038,Gossey Drive North,1319,1723,All,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11
14,10,Upper Ahu Ahu Road,0,46,All,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
15,10,Upper Ahu Ahu Road,46,68,All,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
16,11,Lower Ahu Ahu Road,0,158,All,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
17,11,Lower Ahu Ahu Road,158,179,All,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
18,12,Kriletich Drive,0,263,All,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
19,917,Port Street East,0,21,All,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
20,917,Port Street East,21,396,All,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
21,917,Port Street East,396,874,All,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
22,917,Port Street East,874,1340,All,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
23,917,Port Street East,1340,1431,All,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
24,917,Port Street East,1431,2115,All,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
25,917,Port Street East,2120,2350,All,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
26,13,Puriri Dale Way,0,293,All,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
27,15,Fendall Close,0,438,All,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11
28,15,Fendall Close,438,585,All,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
29,15,Fendall Close,585,643,All,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
30,15,Fendall Close,643,736,All,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11
31,15,Fendall Close,736,814,All,10,10,10,10,10,10,10,10,10,10,10,10,1,7,7,7
32,9339,Weston Way,814,886,All,10,10,10,10,1,9,9,9,9,9,9,9,9,9,9,9
33,9339,Weston Way,886,939,All,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13
34,9339,Weston Way,965,1051,All,18,18,18,18,18,18,18,18,11,11,11,11,11,11,11,11
35,9339,Weston Way,1051,1219,All,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
36,9339,Weston Way,1237,1589,All,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11
37,9339,Weston Way,1589,1999,All,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11
38,9339,Weston Way,1999,2369,All,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11
39,9339,Weston Way,2385,2696,All,11,11,11,11,11,11,11,11,11,11,11,11,2,10,10,10
40,9339,Weston Way,2696,3114,All,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
41,9339,Weston Way,3114,3398,All,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
42,9339,Weston Way,3398,3457,All,20,20,20,20,20,20,20,20,20,20,20,20,15,15,15,15
43,9339,Weston Way,3457,3675,All,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
44,9167,Foxglove Drive,0,668,All,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
45,16,Sarah Lane,0,515,All,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
46,17,Ash Drive,0,318,All,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2
47,18,Monaghan Way,0,80,All,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
48,1035,Cousins Avenue East,0,61,All,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
49,19,Elm Close,0,82,All,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
50,19,Elm Close,82,101,All,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
51,20,Burkes Creek Road,0,21,All,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11
52,20,Burkes Creek Road,21,520,All,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
53,20,Burkes Creek Road,549,697,All,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
54,20,Burkes Creek Road,697,765,All,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
55,20,Burkes Creek Road,765,1789,All,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
56,21,Tapeka Heights Lane,0,277,All,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
57,22,Sir John McKenzie Drive,0,530,All,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
58,23,Apple Orchard Lane,0,185,All,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
59,974,Railway Terrace East,0,730,All,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
60,24,George Noble Road,0,272,All,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
61,24,George Noble Road,272,286,All,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
62,25,Founders Lane,0,597,All,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
63,26,Stud Road,0,205,All,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
64,27,Gallop Lane,0,116,All,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
65,27,Gallop Lane,116,136,All,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
66,7056,Dawick Street,0,78,All,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
67,7056,Dawick Street,78,88,All,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
68,28,Stirrup Lane,0,261,All,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
69,29,Riroriro Road,0,122,All,11,11,11,11,11,19,19,19,19,19,19,19,19,19,19,19
70,29,Riroriro Road,122,139,All,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
71,30,Curly McLeod Way,0,69,All,12,12,12,12,19,19,19,19,19,19,19,19,19,19,19,19
72,30,Curly McLeod Way,69,82,All,30,30,30,30,30,30,30,4,16,16,16,16,16,16,16,16
73,32,Karearea Lane,0,56,All,20,20,20,20,20,20,20,20,20,20,20,20,4,16,16,16
74,32,Karearea Lane,84,154,All,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
75,32,Karearea Lane,154,820,All,12,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
76,32,Karearea Lane,820,1262,All,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
77,33,Okoare Lane,0,58,All,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
78,35,Leicester Place,0,660,All,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
79,36,Paneika Lane,0,370,All,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
80,36,Paneika Lane,370,391,All,10,10,10,10,10,10,10,10,10,10,19,19,19,19,19,19
81,36,Paneika Lane,391,520,All,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
82,37,Freemason Avenue,0,149,All,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
83,37,Freemason Avenue,149,172,All,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
84,37,Freemason Avenue,172,362,All,18,18,18,18,18,18,18,18,18,18,18,4,13,13,13,13
85,38,Tyler Place,0,279,All,14,14,14,14,14,14,14,14,14,14,4,13,13,13,13,13
86,38,Tyler Place,279,322,All,4,4,4,4,4,24,24,24,24,24,24,24,24,24,24,24
87,38,Tyler Place,322,334,All,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
88,38,Tyler Place,334,389,All,4,4,4,4,4,4,4,4,4,19,19,19,19,19,19,19
89,39,Ashlar Court,0,251,All,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
90,40,Bravery Road,0,278,All,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
91,41,Huamanu Street,0,116,All,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
92,41,Huamanu Street,116,134,All,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
93,1092,Bronte Road East,0,156,All,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
