elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,20_0.1_136.65,20_0.1_136.65,14.59_1_115.17,14.59_1_115.17,14.59_1_115.17,14.59_1_115.17,14.59_1_115.17,14.59_1_115.17,14.59_1_115.17,14.59_1_115.17,14.59_1_115.17,14.59_1_115.17,14.59_1_115.17,14.59_1_115.17,14.59_1_115.17,14.59_1_115.17,14.59_1_115.17,14.59_1_115.17,14.59_1_115.17,14.59_1_115.17,14.59_1_115.17
1,1,Conifer Close,0,378,All,10.74_0.1_134.31,10.74_0.1_134.31,10.74_0.1_134.31,13.88_1_109.55,13.88_1_109.55,13.88_1_109.55,13.88_1_109.55,13.88_1_109.55,13.88_1_109.55,13.88_1_109.55,13.88_1_109.55,13.88_1_109.55,13.88_1_109.55,13.88_1_109.55,13.88_1_109.55,13.88_1_109.55,13.88_1_109.55,13.88_1_109.55,13.88_1_109.55,13.88_1_109.55,13.88_1_109.55
2,2,Fladgate Drive,0,565,All,21_0.1_135.34,21_0.1_135.34,21_0.1_135.34,14.14_1_111.63,14.14_1_111.63,14.14_1_111.63,14.14_1_111.63,14.14_1_111.63,14.14_1_111.63,14.14_1_111.63,14.14_1_111.63,14.14_1_111.63,14.14_1_111.63,14.14_1_111.63,14.14_1_111.63,14.14_1_111.63,14.14_1_111.63,14.14_1_111.63,14.14_1_111.63,14.14_1_111.63,14.14_1_111.63
3,4,Highfield Drive,0,71,All,16_0.1_135.85,16_0.1_135.85,14.38_1_113.55,14.38_1_113.55,14.38_1_113.55,14.38_1_113.55,14.38_1_113.55,14.38_1_113.55,14.38_1_113.55,14.38_1_113.55,14.38_1_113.55,14.38_1_113.55,14.38_1_113.55,14.38_1_113.55,14.38_1_113.55,14.38_1_113.55,14.38_1_113.55,14.38_1_113.55,14.38_1_113.55,14.38_1_113.55,11.56_1_114.42
4,3,Matai Way,0,557,All,19_0.1_135.32,19_0.1_135.32,14.34_1_113.19,14.34_1_113.19,14.34_1_113.19,14.34_1_113.19,14.34_1_113.19,14.34_1_113.19,14.34_1_113.19,14.34_1_113.19,14.34_1_113.19,14.34_1_113.19,14.34_1_113.19,14.34_1_113.19,14.34_1_113.19,14.34_1_113.19,14.34_1_113.19,14.34_1_113.19,14.34_1_113.19,14.34_1_113.19,14.34_1_113.19
5,5,Vintry Drive,0,362,All,15_0.1_133.61,14.2_1_112.07,14.2_1_112.07,14.2_1_112.07,14.2_1_112.07,14.2_1_112.07,14.2_1_112.07,14.2_1_112.07,14.2_1_112.07,14.2_1_112.07,14.2_1_112.07,14.2_1_112.07,14.2_1_112.07,14.2_1_112.07,14.2_1_112.07,14.2_1_112.07,14.2_1_112.07,14.2_1_112.07,14.2_1_112.07,2.52_1_112.3,9.45_1_108.99
6,6,Croatia Avenue,0,42,All,10.93_0.1_136.61,10.93_0.1_136.61,10.93_0.1_136.61,10.93_0.1_136.61,10.93_0.1_136.61,14.44_1_113.98,14.44_1_113.98,14.44_1_113.98,14.44_1_113.98,14.44_1_113.98,14.44_1_113.98,14.44_1_113.98,14.44_1_113.98,14.44_1_113.98,14.44_1_113.98,14.44_1_113.98,14.44_1_113.98,14.44_1_113.98,14.44_1_113.98,14.44_1_113.98,14.44_1_113.98
7,6,Croatia Avenue,42,76,All,39_0.1_136.61,39_0.1_136.61,39_0.1_136.61,39_0.1_136.61,39_0.1_136.61,39_0.1_136.61,20_1_136.3,20_1_136.3,20_1_136.3,20_1_136.3,20_1_136.3,20_1_136.3,20_1_136.3,20_1_136.3,20_1_136.3,20_1_136.3,20_1_136.3,20_1_136.3,20_1_136.3,20_1_136.3,20_1_136.3
8,7,Lumbarda Drive,0,152,All,19_0.1_137.06,19_0.1_137.06,19_0.1_137.06,19_0.1_137.06,19_0.1_137.06,19_0.1_137.06,19_0.1_137.06,19_0.1_137.06,19_0.1_137.06,19_0.1_137.06,19_0.1_137.06,19_0.1_137.06,19_0.1_137.06,19_0.1_137.06,19_0.1_137.06,20_1_136.32,20_1_136.32,20_1_136.32,20_1_136.32,20_1_136.32,20_1_136.32
9,8,Tarras Road,0,86,All,12.74_0.1_136.45,12.74_0.1_136.45,12.74_0.1_136.45,12.74_0.1_136.45,12.74_0.1_136.45,12.74_0.1_136.45,12.74_0.1_136.45,12.74_0.1_136.45,14.36_1_113.34,14.36_1_113.34,14.36_1_113.34,14.36_1_113.34,14.36_1_113.34,14.36_1_113.34,14.36_1_113.34,14.36_1_113.34,14.36_1_113.34,14.36_1_113.34,14.36_1_113.34,14.36_1_113.34,14.36_1_113.34
