elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,1.5,1.6,1.8,1.9,2.1,2.3,2.5,2.8,3,3.4,3.7,4.1,4.6,5,5.6,6.2,6.9,7.7,8.6,9.5,10.6
1,1,Conifer Close,0,378,All,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.9,1,1.2,1.4,1.6,1.9,2.2,2.5,2.9,3.3,3.7,4.2,4.8,5.5
2,2,Fladgate Drive,0,565,All,0.4,0.5,0.6,0.7,0.8,0.9,1.1,1.2,1.4,1.5,1.7,2,2.2,2.6,2.9,3.3,3.7,4.2,4.7,5.3,6
3,4,Highfield Drive,0,71,All,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.9,1,1.2,1.4,1.6,1.9,2.1,2.5,2.8,3.2,3.7,4.2,4.7
4,3,Matai Way,0,557,All,3.1,3.4,3.7,4,4.4,4.8,5.2,5.7,6.2,6.9,7.6,8.4,9.4,10.4,11.5,12.6,13.9,15.3,16.9,18.6,20.4
5,5,Vintry Drive,0,362,All,6.3,6.6,7,7.5,7.9,8.4,9,9.7,10.5,0,0,0,0,0,0,0,0,1,1.2,1.4,1.6
6,6,Croatia Avenue,0,42,All,0,0,1,1.1,1.2,1.3,1.4,1.5,1.6,1.8,1.9,2.1,2.3,2.5,2.7,3,3.3,3.7,4.1,4.5,5
7,6,Croatia Avenue,42,76,All,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.9,1,1.2,1.4,1.6,1.8,2.1,2.4,2.8,3.2,3.6,4.1,4.6
8,7,Lumbarda Drive,0,152,All,0,0,0,0,0,0,0,0,0,0,0,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.9,2
9,8,Tarras Road,0,86,All,0,0,0,0,1,1.1,1.2,1.3,1.4,1.5,1.6,1.8,1.9,2,2.2,2.4,2.6,2.9,3.2,3.5,3.9
10,8,Tarras Road,86,120,All,0,0,0,0,0,0,0,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.9,2,2.2,2.4,2.6,2.8
11,9,Kowhai Glen,0,305,All,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.9,1,1.2,1.4,1.6,1.9,2.2,2.5,2.9,3.3,3.7,4.2,4.8
12,1037,Epiha Road Upper,0,415,All,0,0.1,0.2,0.3,0,0,0,0,0,1,1.2,1.4,1.7,2,2.5,3,3.8,4.6,5.7,7.2,0
13,1038,Gossey Drive North,1319,1723,All,0,0.1,0.2,0.3,0,0,0,0,0,1,1.2,1.4,1.7,2,2.5,3.1,3.8,4.7,5.8,0,0
14,10,Upper Ahu Ahu Road,0,46,All,0.8,0,0,0,0,0,0,0,0,0,1,1.2,1.3,1.6,1.8,2.1,2.4,2.8,3.4,4,4.8
15,10,Upper Ahu Ahu Road,46,68,All,0,1,1.1,1.2,1.3,1.4,1.5,1.6,1.8,1.9,2.1,2.2,2.4,2.7,3,3.3,3.6,4,4.4,4.9,5.4
16,11,Lower Ahu Ahu Road,0,158,All,0.4,1.4,1.5,1.6,1.7,1.8,1.9,2,2.2,2.3,2.5,2.6,2.8,3.1,3.3,3.6,4,4.4,4.8,5.3,5.8
17,11,Lower Ahu Ahu Road,158,179,All,0,0,0,0,0,0,0,0,0,0,0,1,1.1,1.2,1.3,1.4,1.5,1.6,1.8,1.9,2.1
18,12,Kriletich Drive,0,263,All,0.3,0.5,0.8,1,1.3,1.7,2,2.4,2.8,3.2,3.7,4.3,4.9,5.6,6.4,7.2,8,9,10,11,12.2
19,917,Port Street East,0,21,All,0.1,0.2,0.3,0.3,0.4,0.5,0.7,0.8,0.9,1,1.2,1.3,1.5,1.7,1.9,2.2,2.5,2.9,3.2,3.6,4
20,917,Port Street East,21,396,All,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.1,1.2,1.3,1.3,1.4,1.5,1.7,1.8,1.9,2,2.2
21,917,Port Street East,396,874,All,0.5,0.6,0.7,0.7,0.8,0.9,1.1,1.2,1.3,1.4,1.6,1.7,1.9,2.1,2.3,2.6,2.9,3.3,3.6,4,4.4
22,917,Port Street East,874,1340,All,0.4,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1,2.3,2.4,2.5,2.7,2.9,3.2,3.4,3.7,4.1,4.4,4.8,5.3
23,917,Port Street East,1340,1431,All,0.3,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1,2.3,2.4,2.6,2.8,3.1,3.3,3.6,3.9,4.3,4.7,5.1
24,917,Port Street East,1431,2115,All,0.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.1,2.2,2.4,2.6,2.8,3.1,3.4,3.7,4,4.4,4.8
25,917,Port Street East,2120,2350,All,0,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,2,2.1,2.3,2.5,2.7,3,3.2,3.6,3.9,4.3,4.7
