elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,20_1_139.12,20_1_139.12,16.56_1_130.75,16.56_1_130.75,16.56_1_130.75,16.56_1_130.75,16.56_1_130.75,16.56_1_130.75,16.56_1_130.75,16.56_1_130.75,16.56_1_130.75,16.56_1_130.75,16.56_1_130.75,16.56_1_130.75,16.56_1_130.75,16.56_1_130.75,16.56_1_130.75,16.56_1_130.75,16.09_1_126.99,16.09_1_126.99,16.09_1_126.99
1,1,Conifer Close,0,378,All,10.56_1_132.68,10.56_1_132.68,10.56_1_132.68,15.19_1_119.93,15.19_1_119.93,15.19_1_119.93,15.19_1_119.93,15.19_1_119.93,15.19_1_119.93,15.19_1_119.93,15.19_1_119.93,15.19_1_119.93,15.19_1_119.93,15.19_1_119.93,15.19_1_119.93,15.19_1_119.93,15.19_1_119.93,15.19_1_119.93,14.61_1_115.32,14.61_1_115.32,14.61_1_115.32
2,2,Fladgate Drive,0,565,All,21_1_135.36,21_1_135.36,15.77_1_124.5,15.77_1_124.5,15.77_1_124.5,15.77_1_124.5,15.77_1_124.5,15.77_1_124.5,15.77_1_124.5,15.77_1_124.5,15.77_1_124.5,15.77_1_124.5,15.77_1_124.5,15.77_1_124.5,15.77_1_124.5,15.77_1_124.5,15.77_1_124.5,15.77_1_124.5,15.26_1_120.45,15.26_1_120.45,15.26_1_120.45
3,4,Highfield Drive,0,71,All,16_1_136.92,16_1_136.92,16.2_1_127.93,16.2_1_127.93,16.2_1_127.93,16.2_1_127.93,16.2_1_127.93,16.2_1_127.93,16.2_1_127.93,16.2_1_127.93,16.2_1_127.93,16.2_1_127.93,16.2_1_127.93,16.2_1_127.93,16.2_1_127.93,16.2_1_127.93,16.2_1_127.93,16.2_1_127.93,15.82_1_124.9,15.82_1_124.9,15.82_1_124.9
4,3,Matai Way,0,557,All,19_1_136.79,19_1_136.79,16.12_1_127.26,16.12_1_127.26,16.12_1_127.26,16.12_1_127.26,16.12_1_127.26,16.12_1_127.26,16.12_1_127.26,16.12_1_127.26,16.12_1_127.26,16.12_1_127.26,16.12_1_127.26,16.12_1_127.26,16.12_1_127.26,16.12_1_127.26,16.12_1_127.26,16.12_1_127.26,15.59_1_123.11,15.59_1_123.11,15.59_1_123.11
5,5,Vintry Drive,0,362,All,15.04_1_134.89,15.85_1_125.14,15.85_1_125.14,15.85_1_125.14,15.85_1_125.14,15.85_1_125.14,15.85_1_125.14,15.85_1_125.14,15.85_1_125.14,15.85_1_125.14,15.85_1_125.14,15.85_1_125.14,15.85_1_125.14,15.85_1_125.14,15.85_1_125.14,15.85_1_125.14,15.85_1_125.14,15.17_1_119.76,15.17_1_119.76,15.17_1_119.76,15.17_1_119.76
6,6,Croatia Avenue,0,42,All,11.07_1_138.33,11.07_1_138.33,11.07_1_138.33,11.07_1_138.33,11.07_1_138.33,16.3_1_128.69,16.3_1_128.69,16.3_1_128.69,16.3_1_128.69,16.3_1_128.69,16.3_1_128.69,16.3_1_128.69,16.3_1_128.69,16.3_1_128.69,16.3_1_128.69,16.3_1_128.69,16.3_1_128.69,16.3_1_128.69,16.3_1_128.69,16.3_1_128.69,16.3_1_128.69
7,6,Croatia Avenue,42,76,All,39_1_138.33,39_1_138.33,39_1_138.33,39_1_138.33,39_1_138.33,39_1_138.33,20_1_137.61,20_1_137.61,20_1_137.61,20_1_137.61,20_1_137.61,20_1_137.61,20_1_137.61,20_1_137.61,20_1_137.61,20_1_137.61,20_1_137.61,20_1_137.61,20_1_137.61,20_1_137.61,20_1_137.61
8,7,Lumbarda Drive,0,152,All,19_1_139.37,19_1_139.37,19_1_139.37,19_1_139.37,19_1_139.37,19_1_139.37,19_1_139.37,19_1_139.37,19_1_139.37,19_1_139.37,19_1_139.37,19_1_139.37,19_1_139.37,20_1_137.89,20_1_137.89,20_1_137.89,20_1_137.89,20_1_137.89,20_1_137.89,20_1_137.89,20_1_137.89
9,8,Tarras Road,0,86,All,12.88_1_137.97,12.88_1_137.97,12.88_1_137.97,12.88_1_137.97,12.88_1_137.97,12.88_1_137.97,12.88_1_137.97,12.88_1_137.97,16.16_1_127.54,16.16_1_127.54,16.16_1_127.54,16.16_1_127.54,16.16_1_127.54,16.16_1_127.54,16.16_1_127.54,16.16_1_127.54,16.16_1_127.54,16.16_1_127.54,16.16_1_127.54,16.16_1_127.54,16.16_1_127.54
