elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
0,1013,Brook Street North,0,220,All,0,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.2,1.3,1.5,1.7
1,1,Conifer Close,0,378,All,0,0,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.2,2.3
2,2,Fladgate Drive,0,565,All,0.2,0.3,0.4,0.4,0.5,0.6,0.7,0.9,1,1.1,1.2,1.4,1.5,1.7,2,2.2
3,4,Highfield Drive,0,71,All,0,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.2,1.3,1.5,0
4,3,Matai Way,0,557,All,0,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.2,1.3,1.5,1.7
5,5,Vintry Drive,0,362,All,0,0.1,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0
6,6,Croatia Avenue,0,42,All,0,0,0,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.2
7,6,Croatia Avenue,42,76,All,0,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.2,1.3,1.5,1.7
8,7,Lumbarda Drive,0,152,All,0,0,0,0,0,0,0,0,0,0,0,1,1.1,1.1,1.2,1.3
9,8,Tarras Road,0,86,All,0,0,0,0,0,0,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8
10,8,Tarras Road,86,120,All,0,0,0,0,0,0,0,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7
11,9,Kowhai Glen,0,305,All,0,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.2,1.3,1.5,1.7
12,1037,Epiha Road Upper,0,415,All,1.3,1.4,1.4,1.5,1.6,0,0,0,0,0,0,0,0,0,0,1
13,1038,Gossey Drive North,1319,1723,All,0,0,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.2,0
14,10,Upper Ahu Ahu Road,0,46,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,10,Upper Ahu Ahu Road,46,68,All,0,0,0,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.2
16,11,Lower Ahu Ahu Road,0,158,All,0,0,0,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.2
17,11,Lower Ahu Ahu Road,158,179,All,0,0,0,0,0,0,0,0,0,0,0,1,1.1,1.1,1.2,1.3
18,12,Kriletich Drive,0,263,All,0,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.2,1.3,1.5,1.7
19,917,Port Street East,0,21,All,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.1,1.2,1.3,1.5,1.7,1.9
20,917,Port Street East,21,396,All,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.1,1.2,1.2,1.3,1.4
21,917,Port Street East,396,874,All,0.7,0.8,0.9,1,1.1,1.2,1.4,1.5,1.6,1.8,2,2.2,2.5,2.7,3,3.3
22,917,Port Street East,874,1340,All,0.2,0.3,0.4,0.4,0.5,0.6,0.7,0.9,1,1.1,1.2,1.4,1.5,1.7,2,2.2
23,917,Port Street East,1340,1431,All,0.2,0.3,0.4,0.4,0.5,0.6,0.7,0.9,1,1.1,1.2,1.4,1.5,1.7,2,2.2
24,917,Port Street East,1431,2115,All,0.3,0.3,1.3,1.4,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3,2.5,2.6
25,917,Port Street East,2120,2350,All,0,0,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.2,2.3
26,13,Puriri Dale Way,0,293,All,0,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.2,1.3,1.5,1.7
27,15,Fendall Close,0,438,All,0,1,1.1,1.1,1.2,0,0,0,0,0,0,0,0,0,1,1.1
28,15,Fendall Close,438,585,All,0,0,0,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.2
29,15,Fendall Close,585,643,All,0,0,0,0,0,0,0,0,0,0,0,1,1.1,1.1,1.2,1.3
30,15,Fendall Close,643,736,All,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.1,1.2
31,15,Fendall Close,736,814,All,0,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,0,0,0,0
32,9339,Weston Way,814,886,All,0,0.1,0.1,0.2,0,0,0,0,0,0,0,0,0,0,1,1.1
33,9339,Weston Way,886,939,All,0,0,0,1,1.1,1.1,1.2,0,0,0,0,0,0,0,0,0
34,9339,Weston Way,965,1051,All,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35,9339,Weston Way,1051,1219,All,0,0.1,0.1,0.2,0.3,0.4,0,0,0,0,0,0,0,0,0,1
36,9339,Weston Way,1237,1589,All,0,0.1,0.1,0.2,0.3,0,0,0,0,0,0,0,0,0,1,1.1
37,9339,Weston Way,1589,1999,All,0,0.1,0.1,0.2,0.3,0,0,0,0,0,0,0,0,0,1,1.1
38,9339,Weston Way,1999,2369,All,0,0.1,0.1,0.2,0.3,0,0,0,0,0,0,0,0,0,1,1.1
39,9339,Weston Way,2385,2696,All,0,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,0,0,0,0
40,9339,Weston Way,2696,3114,All,0,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.2,1.3,1.5,1.7
41,9339,Weston Way,3114,3398,All,0,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.2,1.3,1.5,1.7
42,9339,Weston Way,3398,3457,All,0,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,0,0,0,0
43,9339,Weston Way,3457,3675,All,0,0,0,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.2
44,9167,Foxglove Drive,0,668,All,0,0,0,0,0,0,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8
45,16,Sarah Lane,0,515,All,0.9,1.9,2,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.1,3.2,3.4
46,17,Ash Drive,0,318,All,0,0,0,0,0,0,0,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,0
47,18,Monaghan Way,0,80,All,0,0,0,0,0,0,0,0,0,1,1.1,1.1,1.2,1.3,1.4,1.5
48,1035,Cousins Avenue East,0,61,All,0,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.2,1.3,1.5,1.7
49,19,Elm Close,0,82,All,0,0,0,0,0,0,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8
50,19,Elm Close,82,101,All,0,0,0,0,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2
51,20,Burkes Creek Road,0,21,All,0,0,1,1.1,1.1,1.2,1.3,1.4,1.5,0,0,0,0,0,0,0
52,20,Burkes Creek Road,21,520,All,0,0,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.2,2.3
