file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,elem_index,treatment,treat_category,budget_category,period,period_calendar,forced,follow_up,treatment_cost,treatment_qty,treatment_comment,treatment_reason,is_committed
10,Upper Ahu Ahu Road,0,46,All,14,ChipSeal_P,Preserve,Renewals,1,2024,True,False,3680,368,committed import,committed,True
32,Karearea Lane,84,154,All,74,ChipSeal_P,Preserve,Renewals,1,2024,True,False,7920,792,committed import,committed,True
32,Karearea Lane,154,820,All,75,ChipSeal_P,Preserve,Renewals,1,2024,True,False,77210,7721,committed import,committed,True
9339,Weston Way,1051,1219,All,115,ChipSeal_P,Preserve,Renewals,1,2024,False,False,37300,3730,mesh_cracks =0; shove =0; poth =0.22,pdi =4.6; sdi =36.09; age =16,False
15,Fendall Close,736,814,All,321,ChipSeal_P,Preserve,Renewals,1,2024,False,False,17630,1763,mesh_cracks =10.57; shove =4.95; poth =0,pdi =21.96; sdi =16.09; age =22,False
9339,Weston Way,1051,1219,All,197,ChipSeal_P,Preserve,Renewals,1,2024,False,False,37300,3730,mesh_cracks =0; shove =0; poth =0,pdi =2.67; sdi =22.01; age =16,False
9339,Weston Way,1999,2369,All,314,ChipSeal_P,Preserve,Renewals,1,2024,False,False,48630,4863,mesh_cracks =11.16; shove =0; poth =0,pdi =11.16; sdi =27.58; age =16,False
9339,Weston Way,1237,1589,All,231,ChipSeal_P,Preserve,Renewals,1,2024,False,False,45420,4542,mesh_cracks =0; shove =0; poth =0,pdi =0; sdi =7.41; age =16,False
9339,Weston Way,1999,2369,All,146,Preseal_CS,Holding,Renewals,1,2024,False,False,48630,48630,mesh_cracks =15.63; shove =0; poth =0,pdi =15.63; sdi =0; age =16,False
9339,Weston Way,1999,2369,All,481,ChipSeal_P,Preserve,Renewals,1,2024,False,False,48630,4863,mesh_cracks =0; shove =0; poth =0,pdi =0; sdi =11.26; age =16,False
9339,Weston Way,814,886,All,107,ThinAC_P,Preserve,Renewals,1,2024,False,False,82750,1655,mesh_cracks =7.18; shove =7.17; poth =0,pdi =21.93; sdi =18.94; age =22,False
9339,Weston Way,1589,1999,All,332,ChipSeal_P,Preserve,Renewals,1,2024,False,False,54530,5453,mesh_cracks =0; shove =0; poth =0.08,pdi =2.38; sdi =4.68; age =16,False
9339,Weston Way,1237,1589,All,125,ChipSeal_P,Preserve,Renewals,1,2024,False,False,45420,4542,mesh_cracks =0; shove =0; poth =0,pdi =0; sdi =1.84; age =16,False
9339,Weston Way,1999,2369,All,249,ChipSeal_P,Preserve,Renewals,1,2024,False,False,48630,4863,mesh_cracks =0; shove =0; poth =0,pdi =0; sdi =7.71; age =16,False
15,Fendall Close,736,814,All,31,ChipSeal_P,Preserve,Renewals,1,2024,False,False,17630,1763,mesh_cracks =0; shove =1; poth =0,pdi =1.04; sdi =0.1; age =22,False
15,Fendall Close,0,438,All,363,ChipSeal_P,Preserve,Renewals,1,2024,False,False,54800,5480,mesh_cracks =0; shove =0; poth =0,pdi =6.24; sdi =41.76; age =11,False
38,Tyler Place,334,389,All,109,ChipSeal_P,Preserve,Renewals,1,2024,False,False,5830,583,mesh_cracks =0; shove =0; poth =0,pdi =6; sdi =33.5; age =32,False
15,Fendall Close,0,438,All,117,ChipSeal_P,Preserve,Renewals,1,2024,False,False,54800,5480,mesh_cracks =0; shove =0; poth =0,pdi =0; sdi =26.54; age =11,False
15,Fendall Close,0,438,All,226,Preseal_CS,Holding,Renewals,1,2024,False,False,54800,54800,mesh_cracks =0; shove =10.29; poth =0,pdi =17.17; sdi =17.2; age =11,False
9339,Weston Way,2385,2696,All,388,ChipSeal_P,Preserve,Renewals,1,2024,False,False,39190,3919,mesh_cracks =1.25; shove =0; poth =0,pdi =9.21; sdi =40.89; age =16,False
9339,Weston Way,1237,1589,All,36,ChipSeal_P,Preserve,Renewals,1,2024,False,False,45420,4542,mesh_cracks =0.3; shove =2.5; poth =0.01,pdi =2.9; sdi =0.1; age =16,False
37,Freemason Avenue,0,149,All,488,ChipSeal_P,Preserve,Renewals,1,2024,False,False,19370,1937,mesh_cracks =0; shove =0; poth =0,pdi =3.73; sdi =23.78; age =16,False
